"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","","","","","","","","","","","","","","","","","","500.10","","","","","","","","","","","","","","","","","","","","","","010.30.CAS.BCE","Batterie froide:Fluide-Batterie chaude:Electrique","010.30.OVM","Ouvrant de Ventilation Motorisé"
"","","","","","","","","","","","","","","","","","","","","","","500.20","","","","","","","","","","","","","","","","","","","","","","010.30.CAS.BCF","Batterie froid:Fluide-Batterie Chaude:Fluide","010.30.PAC","Pompes à Chaleur Unités terminales"
"","","","","","","","","","","","","","","","","","","","","","","510.10","","","","","","","","","","","","","","","","","","","","","","010.30.CAS.BFR","Batterie froide:Fluide non réversible","010.30.PCD","Puits canadien"
"","","","","","","","","","","","","","","","","","","","","","","510.20","","","","","","","","","","","","","","","","","","","","","","010.30.CLM.CLI","Climatiseur monoblocs","010.30.PEG","Poutres climatiques"
"","","","","","","","","","","","","","","","","","","","","","","510.30","","","","","","","","","","","","","","","","","","","","","","010.30.CON.CON","Condenseurs","010.30.PRO","Intervention propreté rsx de souffl."
"","","","","","","","","","","","","","","","","","","","","","","510.40","","","","","","","","","","","","","","","","","","","","","","010.30.CRE.CON","Contrôle réglementaire de l'Air","010.30.PUR","Purificateur d'air"
"","","","","","","","","","","","","","","","","","","","","","","510.50","","","","","","","","","","","","","","","","","","","","","","010.30.CRV.BOI","Boitier chaud / froid VRV","010.30.RCY","Recycleurs"
"","","","","","","","","","","","","","","","","","","","","","","520.10","","","","","","","","","","","","","","","","","","","","","","010.30.CTA.RBE","Reprise d'air Batterie Elec","010.30.RGT","Registre"
"","","","","","","","","","","","","","","","","","","","","","","520.20","","","","","","","","","","","","","","","","","","","","","","010.30.CTA.RBF","Reprise d'air Batterie Fluide","010.30.ROO","Roof-top"
"","","","","","","","","","","","","","","","","","","","","","","520.30","","","","","","","","","","","","","","","","","","","","","","010.30.CTA.REF","Reprise d'air Batterie Elec Batterie Fluide","010.30.SOU","Soufflage"
